Thds num.,Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6
1,3e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
2,3e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
3,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
4,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
5,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
6,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
7,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
8,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
9,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
10,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06
