Thds num.,Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7
1,0.013367,0.017408,0.037351,0.025551,0.035418,0.03516,0.038052,0.037882
2,0.007906,0.009338,0.019089,0.013349,0.019251,0.022072,0.019581,0.019696
3,0.006442,0.006854,0.014269,0.009922,0.01233,0.012701,0.014577,0.014278
4,0.005322,0.00591,0.011004,0.008097,0.011233,0.011047,0.01093,0.010788
5,0.006112,0.0064,0.01125,0.00816,0.009698,0.009794,0.010969,0.010833
6,0.005875,0.005527,0.010044,0.007482,0.008025,0.008146,0.009412,0.009468
7,0.006665,0.005288,0.009161,0.006379,0.008475,0.008443,0.008715,0.009341
8,0.007268,0.00597,0.011755,0.006166,0.010464,0.010974,0.0117,0.009583
9,0.029837,0.023875,0.023818,0.023964,0.022925,0.027771,0.028745,0.036847
10,0.055074,0.052242,0.027079,0.024712,0.026754,0.03075,0.03264,0.036782
