Thds num.,Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7
1,0.012816,0.017377,0.041023,0.025182,0.039332,0.036715,0.039094,0.040136
2,0.010426,0.013814,0.030507,0.015448,0.028354,0.028874,0.032253,0.033801
3,0.00739,0.011886,0.026754,0.015975,0.025564,0.025037,0.02548,0.026121
4,0.006858,0.00973,0.021898,0.012852,0.021128,0.021222,0.021858,0.021564
5,0.006415,0.008821,0.019658,0.011409,0.018528,0.018962,0.019256,0.019006
6,0.005748,0.009031,0.017366,0.010675,0.017187,0.017386,0.017323,0.016338
7,0.005624,0.009081,0.014185,0.00883,0.014969,0.01431,0.01549,0.016377
8,0.008493,0.009313,0.015513,0.009732,0.016736,0.014688,0.014627,0.013386
9,0.005613,0.007292,0.014404,0.008432,0.013608,0.013808,0.013979,0.013737
10,0.004982,0.006824,0.013594,0.00774,0.013043,0.013178,0.013708,0.013366
